make,model,car_model,review_title,review_text,style,comfort_rating,fuel_economy,perfomance,value_for_money,overall_rating,helpful_votes_ratio,review_date
Suzuki,Swift,2013 Suzuki Swift DLX 1.3,Excellent Car,"Exterior:it is very beautiful and a cozy car with a impressive looks.

Interior (Features, Space &amp; Comfort):i think if they could give LCD also in DLX so it will be best but still the sound of 4 speakers are excellent and seats are also comfortable. 

Fuel Economy:the consumption of fuel is also good if compared to other 1300cc cars.  

Ride Quality &amp; Handling:the road grip is superb and the engine is also very powerful and i think that this is the only suzuki car in pakistan with this type of powerful engine.

Final Words:i suggest this car to those people who want to enjoy the sport engine in a small car. the last words for this car Swift is only SUPERB!",5,5,5,5,5,5,0.5714285714285714,2013-01-21
Suzuki,Baleno,1999 Suzuki Baleno,Baleno,Good shape fuel consumption is awesome I am totally amazed by performance of this car although I have gli but good car over all I am using 1.3  over all a good car to have in ur garage driving is so soft some comfet issues if u have 5 persons then have some issues,4,2,5,5,4,4,0.0,2017-08-06
Suzuki,Wagon R,2014 Suzuki Wagon R VXL,Suzuki Wagon R VXL,"I bought this car last year in August. I must say this car delivered me with the amazing package of enhanced fuel economy plus comfort. As I m not much concerned with the looks of the car rather i prefer better fuel economy with due comfort..

It easily gives one with around 17 kmpl within city (i have not driven this on long routes), means with even light foot one can achieve more, quite cabin (no external noises when driving on busy routes) Apart from the better fuel economy this car gives clearer vision via rear &amp; front wind screens due to its height. It is a very good addition in the  PS product offering and unlike crap cultus which is being developed with low quality materials.

Wagon r offers good space for driver even a tall height-ed guy can easily fit in, passengers also enjoys this spacious vehicle along with the driver. It is perfect value for money.",2,5,5,4,5,4,1.0,2015-01-20
Toyota,Prius,2010 Toyota Prius,Highly recommended prius,I have prius 1.5 and 2010 model. It is the best car I have ever used. 24 to 25 kmpl is my car consumption. Exterior look ain't much appealing but 1.8 version is good in looks too. I highly recommend it for people who wanna save money and I save roughly 6 to 8 thousands per month. Which makes 80000 per year plus it's oil change with 5w 30 oil is in great condition even after 6000 mileage. So overall a great luxury plus economy. And lastly it has great pick and power too. Can be tested with any car and it will surprise you.,4,4,5,5,5,4,0.75,2015-07-01
Peugeot,2008,2022 Peugeot 2008 Allure,Value to money car,"exterior is very stylish It is indeed a futuristic car
interior is also stylish and overall the car design is quite futuristic
fuel economy is great with 15 in city and 18 on highway 
even it is a small engine performance is great with respect to the small engine
It is a value to money in my opinion",5,3,4,4,5,4,1.0,2022-07-23
DFSK,Glory 580,2020 DFSK Glory 580 1.5 CVT,CBU,"Best car I have ever drived,in terms of money,spec,etc,worth buying machine,u can buy with close eyes,m using it for the last 8months,10,000km driven,,from day 1,many ppl stop me during every 2nd drive n start asking about review of this eagle eye beast, slowly gradually this machine is catching customer attention,,,,",5,5,4,5,5,4,0.0,2021-03-22
Honda,City,2018 Honda City Aspire Prosmatec 1.5 i-VTEC,BEST CAR  THAN COROLLA,BEST CAR THAN COROLLA   COMFORT IS GOOD AND FEATURES  ARE   LOT IN CAR   . STYLISH AND MODERN LOCKING SHAPE  AND CAR IS COMPACT AND SPACIOUS. FULE ECONOMY  IS 13 KM IN CITY  AND IN HIWAY  16 KM   IS GOOD BECAUSE AUTOMATIC GEAR HAI OR 1.5L ENGINE KE LIA OK HA. CAR VALUE FOR MONEY BOHAT HA  IN SARE FEATURES SA  OR 3 YEARS KE WARRENTY SA BOHAT VALUE FOR MONEY HA.CAR KE PERFORMANCE OR PICK  BOHAT ACHE  OR 1.5L ENGINE SA CAR BOHAT BAGTE.  AIRBAG KI CAMI HA CAR MA  WO HONA  CHIHA  THA. CAR KI PRICE   SAHE HA  FEATURES KA MOCKABLA,5,4,3,5,5,4,1.0,2018-08-11
Tesla,Model 3,2021 Tesla Model 3 Long Range,Best car for economy,"comfort level ?? ???? 
nice for fuel economy
???? performance. 
value for money but when it comes to pakistani import duty it goes higher and higher. i just dont like the way that it charges. like karachi is an loadshedding city, when you have to charge overnight the light goes off. and the charger cannot handle the charger, its an majour issue for all over EV cars.",3,4,5,5,5,4,0.0,2022-08-08
Toyota,Corolla,2014 Toyota Corolla GLi 1.3 VVTi,Most beautiful PKDM car,"Exterior is just amazing. No words how beautiful the exterior is.
 
interior quality is is amazing and I like the color combination specifically. 

Performance is also good enough for city use as well as highway,

More Comfortable than Hondas 

Honda Civic looks cheap in front of this car.

 Better seating position in this car.

Fuel economy will be better after a few thousand kms.

Amazing car, best in Pakistan and best for Pakistani environment.",5,5,5,5,5,5,0.3888888888888889,2014-09-16
Toyota,Corolla,2017 Toyota Corolla GLi Automatic 1.3 VVTi,Booking avialeble or no,"Beatiful interior 
Exellent exterior 
Great fuel econmy
Eco drive 
Best car gli 1.3 automatic 
Best rating toyota good job!!!!!!!!..........*************@*@*@*@**@*@*@*@*@*@*@**@*@*@*@*@*@*@*@*@*@*@*@**@*@*@*@*@*@*@*@*@*@*@*@*@**@*@*@*@*@*@*@*@*@*@*@**@*@*@*@*@*@*@*@ toyota.com",5,5,5,5,5,5,0.0,2017-07-13
Honda,Vezel,2017 Honda Vezel Hybrid Z Honda Sensing,Best Fuel Average SUV in Price of C Category Sedan,Honda Vezel which was known in Pakistan for the first SUV in town as there were no prior SUV market share holders at that time earlier in 2014; therefore this was a great attraction for SUV Lovers and those having prefernce of good fuel economy. Now since it’s been almost ten years when Vezel is still running in the market having Share among other SUV where it competes them with its excellent Fuel Average,3,4,4,4,3,3,0.0,2023-04-01
Honda,City,2004 Honda City i-DSI,Reasonable car,"Car has good exterior but now looks outdated 
Engine performance and fuel  economy is good one but new car have more fuel efficient engine.
I drove this car for many years. 
Comfortable drive in city, but for long drives manual is more tiring 
Interlocks are not available in the market and  desi are not working for long time.
Road grip is not  good  so as brakes ,when you apply brakes on  above sixty in  emergency it glides on the road.
Never take it to hilly areas ,gives more problems.",3,3,3,3,3,3,1.0,2020-07-29
Honda,City,2018 Honda City Aspire Prosmatec 1.5 i-VTEC,Stylish Powerful yet Heavy on Pocket,"Exterior is excellent,  Decent Looking Car 
Interior is Leather Beige Color  , Wooden Trim looks beautiful and  the Original Andriod Panel  is  working perfect on calls.
Sound System totally worth it. What i love the most in Car is Sound System. 
Its really heavy on Fuel , Plus small Fuel Tank Capacity makes it hard in Local  and you have to keep refilling it.
If your Standby time in Traffic is more, It will smoke fuel proportionally and  sometimes in Local when you r stuck in traffic most of time and idel with AC ON  , Full Tank gave you 220-280KM. (7-9Km/Liter)
Powerful car and on highways on 120km/hr , RPM will not cross 2k and its very smooth on highways. 
Mileage on highways if you are consistent with speed, it will give you 15-16Km/Liter.
Suspension is stiff so if you are upgrading it from Corolla, Civic etc Old Models, you will not like Suspension for sure.

Lacks of features, No Cruise Control , No Media controls on steering ,",4,4,2,4,3,3,0.0,2022-06-10
DFSK,Glory 580,2021 DFSK Glory 580 Pro,Extremely BAD after sale service,"Overall Look and feel of the CAR is great.
Build quality is extremely poor, BAD paint quality, Rough ness feels even on BRAND new car.
After sales service is extremely poor.  I went to a dealership at JAIL ROAD LAHORE, extremely inexperienced staff.
I had paint issues on brand new car and i REJECTED its delivery with major defects found on body paint.
Minor scratches on body, Interior AIR DUCT having DUST as old cars.
TRACTION light remained  ON.   white paint showered on body found almost every where though one cannot find it with a distance but close look. Bumper black parts having paint  spots.
I had to STAND 2 hours to just  see who is going to answer my questions and never asked to take seat or even a glass of WATER.
Currently i have claimed back light that also got defect and its  a MONTH now and no news so far. YOU HAVE to wait hours to get your work done . lastly  I had first service and they took 2 hours to do that .
COMPROMISE ALL ABOVE AND THEN ENJOY",5,2,1,1,2,2,0.0,2021-09-18
Daihatsu,Charade,1986 Daihatsu Charade CS,daihatsu charade  cs,"Modified car
Non exhaust systems
Simply modifyed car
Good fuel average in city
Excellent fuel average in long",4,4,3,5,4,4,0.0,2023-05-28
Suzuki,Alto,2021 Suzuki Alto VXL AGS,Fully satisfied,"Exterior me front 10/10 hai back 10/8
Interior 10/10
Ac performance 10/10 in hoty days
Fule economy 10/10. Muje ac ke sath in city 24/27 deti hai 60 se 80 ki speed par long par 100 se 120 ki speed par 20/21 deti hai with full time ac on
Comfort bohatttttttttttt acha hai jese sedan corolla ka hai or suspension be soft hai 
Gear ki shifting be soft hai ager isko samaj kar chalae full auto or Manuel ka maza hai
Kuch chavle mari hai suzuki ne jese roof wala handle sirf front dor par dia hai back view camera nae hai back seat head rest nae hai sun visor me mirror nae hai center mirror me night dimmer nae hai vxl top variant me alloy wheel b nae hai or na hi fog light hai na hi option de hai lagane ki steering wheel thora cheap hai jesa cultus vxl ka hai wesa dena chye tha with chrome suzuki logo
Baqi ma full satisfy hu le kar",4,5,5,5,5,4,0.0,2021-05-24
KIA,Grand Carnival,2021 KIA Grand Carnival,comfort on wheels,"very stylish exterior , the interior is extremely comfortable . i took a 12 hour journey and got off hardly tired . 
fuel consumption is better than a Fortuner and on a highway it is exceptional  (both as a passenger and driver) 
great comfort specially if u have a family of 5",4,5,4,5,5,4,0.0,2022-04-04
Toyota,Yaris,2022 Toyota Yaris ATIV X CVT 1.5,Value for money with gotchas,there are few cons or missing basic features. there is a lag in pickup. air throw on side ac vents is pathetic &amp; there placement is also not good. ac &amp; radiator grills completely overlap &amp; share single fan. this affects cooling which can be felt when car is hot &amp; stationary. no retractable side mirrors. no cruise control. no front camera. no parking sensors. the front passenger seat back slightly vibrates under certain conditions. sometimes a faint squeaky sound comes from android panel area. the back passenger left door window panel makes increasing wind noise starting 80km/hr. few driver door panel controls lack back lights. boot cover sticks with the rubber seal. arm rest is misplaced. android panel is very basic. radio antenna is not foldable. exterior chrome is of low quality &amp; gets rusted. back seat has a hump in the middle &amp; its leg area is encroached by arm rest. Sliding front seats back impacts back seat leg space.,3,4,4,3,3,3,0.0,2023-08-26
Toyota,Duet,2002 Toyota Duet X,good car,good car good feature interior n exterior out class good fuel average body out class suspension very smooth seats comfortable engine performance very nice ......................................................................             .................,5,4,4,5,3,4,0.0,2023-10-11
Toyota,Corolla,2015 Toyota Corolla GLi Automatic 1.3 VVTi,poor economy,exterior is very beautiful but interior is not much beautiful as what it should be car has excellent road grip and brakes car is best for bumpy and rough roads but its fuel economy is very poor  even my old corolla 2010 model gives more good  average than my new one  it should be better!,5,4,2,5,3,3,0.0,2017-06-22
Daihatsu,Tanto,2014 Daihatsu Tanto Custom X Limited SA III,beautiful exterior interior huge room,"huge room,family car,comfort level is awesome,.one of the best design ,top selling award of year 2014, auto hid headlights with fog lamps,turbo engine( give performance equal to 1300cc ),leather seats, fully automatic,power steering with tilt option, eco idle,eco drive, traction control,radar system, navigation ,back camera,climate control AC ,alloy rims,both back door auto slide even with remote .. that all package come with the price of only 15-18 lac just.",5,5,5,4,5,4,0.0,2021-03-28
BMW,3 Series,2017 BMW 3 Series 318i,The all new BMW 3 Series,"love the drive. The comfort level is better than A4 and C class. it gives best fuel eco as engine is 1.5 but it's twin-power turbo so the torque which it produces and the power which it gives are the best as compare to its rivals. It's an underrated car because of its previous models but believe me the rivals are nothing in front of this, 318i.",5,5,5,5,4,4,0.0,2018-09-15
Toyota,Corolla,2010 Toyota Corolla GLi 1.3 VVTi,Value for Money,"A great family vehicle.The car has a more stronger suspension and exterior then the new cars coming.The backdraws of the car include poor fuel average and it is a slight uncomfortable,yet is a great perfomance vehicle thas attain stability at any kind of speed and is one of the most successfull vehicles for Pakistan.",3,4,3,5,4,3,1.0,2022-10-16
Honda,Insight,2009 Honda Insight HDD Navi Special Edition,Excellent Value To Money Car,"Exterior Very Beautiful
Interior Very Comfortable
Fuel Economy Very Good As It Is A Hybrid Car
As Handling Is Very Smooth,It Provides Highly Comfortable Ride

It Is A Great Value To Money Car 
Its Design Is Awesome
It Is A Very Spacious Car With A Very Large Trunk
It Provides A Wonderful Fuel Economy
Riding Is Much Smooth And Comfortable",5,5,5,5,5,5,0.0,2022-05-04
Honda,Civic,2019 Honda Civic Oriel 1.8 i-VTEC CVT,Honda civic 2019 pathatic,"Yesterday I bought honda civic 2019 model brand new.
With expectations that i have bought a comfortable car with better quality and technology.
BUT when I sit inside my car and drove down the road the first impression came in my mind was (made a mistake buying this pathetic piece of plastic). Really not worth buying.
I advise everyone reading this never buy this pathetic piece of plastic.",4,2,1,2,2,2,0.0,2020-02-01
Toyota,Wish,2007 Toyota Wish 1.8 X Limited,perfect family car,exterior is stylish comfort is very good perfect family car very nice pickup fuel avrage is amazing trip tonic gare shifting 1800cc but fuel avrage of 14 to 15 in city and 18 to 20 on long roots handling is very good 7 seater 5 to 6 adults can easily travel on long roots it's value to money,3,5,5,4,5,4,1.0,2020-03-31
Haval,H6,2024 Haval H6 HEV,Tyres glat Daly hin 19 kay,Gadi chalne mein bahut acchi hai main nay 3000 kilometer drive kar li hai lekin ek jump mein Mera tyre phut Gaya hai aur 19 ka tyre market mein Nahin mil raha jiske pass hai woh apni Marji ke paise mang rahe hain mujhe samajh Nahin a rahi bhi company ko 19 ka tyre dalne ki kya zarurat thi haval h6 mein jab ke Baki inki gadiyon mein 18 ka tyre hai main to Soch Raha Hun ki yah tyre change kar do 18 ka tyre dal lon,5,5,4,5,5,4,0.0,2024-06-28
Honda,Civic,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,"The New Honda Civic 2013 "" My First Impression""","My first impression, ""Oh this is a slightly longer version of Honda City"" 

I really dont like the Exterior, but the Interior Rocks. Black Color which lacks a little shine though is awesome curved giving an amazing feel infront of you, the LCDs and the Meters are seriously outstanding the positioning of the meters do not get your eyes away from the Road.

The new Aero Dynamic body Shape and with a lighter body having the same old 1.8L engine are the key ingredients for a far better fuel economy. 

Leg Room is nice, very comfortable seats good roof distance...

iMID technology is something we all would love to have.

All in all i would rate this car 8/10.",3,5,5,4,4,4,1.0,2012-09-19
Honda,BR-V,2017 Honda BR-V i-VTEC S,EXCELLENT VALUE FOR MONEY,"DRIVEN 50000+ KM , ONLY REGULAR MAINTANENCE , ONCE AUTO TRANSMISSION GEAR OIL &amp; ONCE BRAKE PADS CHANGED . PEACE OF MIND AS PARTS EASILY AVAILABLE . FUEL ECONOMY IN CITY AROUND 9-10 KM/LITRE WITH AC , ON HIGHWAY AROUND 14-15KM/LITRE 
HIGH GROUND CLEARANCE SO NO ISSUE EVEN WHEN CAR FULL LOADED .
BEST VALUE FOR MONEY 7 SEATER , FOR CITY USE &amp; TRAVELLING ON LONG ROUTES !!!!!!",5,4,5,5,5,4,0.0,2021-10-07
Toyota,Corolla,2023 Toyota Corolla XLi VVTi,Toyota Corolla Review,"eliability is a real strong point for the Corolla, with the model itself finishing right near the top of the family car category in our 2023 What Car? Reliability Survey. Toyota as a brand performed admirably too, claiming second place (beaten only by Lexus) out of 32 car makers in our overall rankings",1,2,3,4,4,2,0.0,2024-02-14
Range Rover,Velar,2021 Range Rover Velar,Great buys,the exterior is good than interior the interior is luxury  but as compared to exterior it just fine and the fuel economy is also good and its performance is pretty much good and it is valued for money if you can afford these car are quite expensive i owned a range rover velar and are very good in performance i have explore many northern areas in pakistan,4,5,2,5,3,3,0.0,2021-12-15
Changan,Alsvin,2021 Changan Alsvin 1.5L DCT Lumiere,Great buy excellent car,A beautiful exterior with led DRLs and the front is better then any sedan the back matches with its front the interior is outclass with a sporty look and the legroom and headroom is plenty the fuel avg in city is 12.9 with ac and in motorway 15 or more with ac. My final words are buy this car its pakistans best sedan car.,5,5,5,5,5,5,1.0,2021-07-25
Suzuki,Wagon R,2021 Suzuki Wagon R VXL,Useless,"Those who dont drive imported cars and have lack knowlwdge of cars, can says Pakistani cars are good. Just its useless not a car or not a van. Build quality is very much low. Paint quality is very much poor. Suspension is like ????? ?????. 
Better not 2 buy 10000 times better 2 buy Passo or Vitz.",1,2,2,1,3,1,0.3333333333333333,2021-08-13
Toyota,Passo,2008 Toyota Passo G 1.0,Toyota passo,"I have well  maintained my car exterior is genuine and scratchless
fuel average 10.5-11 with ac in city and  13-14 long drive.cart ac performance is outclass it is more luxury then cultus overall i will rate my car 9.5/10.



I Have alot of interest in cars and having good knowledge of car.",4,5,3,4,5,4,0.0,2019-07-03
Toyota,Noah,2015 Toyota Noah G,Noah best car in 7 seater,"Good exterior
Good interior
Very good fuel average
Good style.
Best luxury car
Value of money very good.
Better than BR-V, toyota Sienta, prius alpha, best 7 seater car in this price range, with full load give 14 to 15 average which ia to much efficient.",4,5,5,5,5,4,0.0,2022-10-11
Toyota,Passo,2007 Toyota Passo X,The Best Family Car,"Used it for a year and found that it is the most comfortable family car one may have. Loved it.

It has very good aerodynamic exterior - back mirror is so rightly placed that we can see a mile behind us.

It is full-front-seat and spacious back-seat which sufficient to take 6 people on board or lots of goods.

Very good road grip and swift gear change.",5,5,5,5,5,5,0.5,2014-06-14
Suzuki,Baleno,2003 Suzuki Baleno JXL,very good car,"low budget, excellent car, but before buying it must do incepection from expert person. give 13-15 KM/litre with AC. Parts are relatively expensive. availbilty of parts also a problem in small cities and towns. but easily availible in big cities. In low budget can take luxury of sedan.",3,4,4,4,5,4,0.0,2022-02-20
Honda,City,2008 Honda City i-DSI,Best Car in this budget,"Good looking car with best fuel average in this category  
Value for money  but in this 2008 model faceup lift honda reduce the efficiency of brakes as in the earlier model 2004 to 5 brakes is more aggressive 
boot space is ample 
headlights is not good in this model you need to install hid's in it for better performance",4,5,5,5,5,4,1.0,2022-03-31
Audi,Q2,2024 Audi Q2 1.0 TFSI Exclusive Line,very bad car,"not even luxury as other audi's .audi i have a demand for you that please improve its duel average and comfort not valie for money worst audi ever . Its style is very bad for audi its interior is as bad and low quality as suzuki cars not recomended .I brought this  
brand new car in 2024 jan l have
 repaired this cars engine such a twice times when I have goen to monal this car showes 0/10 performance .",1,2,1,3,1,1,0.0,2024-05-24
Honda,Civic,Honda Civic VTi Oriel 1.8 i-VTEC,Super awesomeness,"I have been driving Honda Civic reborn 2010 for like eight months and during this period of time I never thought or wished that I would have bought Altis!

This car is a beast ... its like a rugby player wearing an executive suit!

If you press the pedal gentle, it will purr like a cat .. but if you press it hard, it will road like a lion!

I have minor quality related issues, but for me it was a best buy!

Fuel mileage during winter is about 12-13 km/l but in summer with AC, it drops between 8-9 km/l.

If you want to enjoy your drive and want something awesome under you, go for this car.",5,5,5,5,5,5,0.6923076923076923,2011-03-27
Suzuki,Wagon R,2014 Suzuki Wagon R VXL,WAGON R NEW,"Driven Wagon R again . VXL Model, much better than Cultus . 

However , tyres seems bit small, drive /Interior out class . 








................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................",3,4,4,4,4,3,0.375,2014-05-17
Honda,Civic,Honda Civic VTi 1.8 i-VTEC,Honda Civic reborn 07 model,"i bought the civic vti manual one and to my surprise the finish and quality of the interior was way inferior to  of them the older ones ,i m talking about 06 or 05's the inner feel of the new civic is shallow as well as most of them have a problem of passenger side window channel i m saying many as i have 2 of them and faced same with both , secondly when you have to close the trunk its specific point where you need to apply force otherwise it wont close. if u take the car to dealership they will tell you abt the window fault to be there in many of them .
now the drive experience the drive is superb smooth and acceleration is very decent and the feel of steering wheel is like it makes you feel in control of the vehicle totally. fuel economy is also good . but tyres TYRESSSSS oh my Allah they have reduced the quality of the tyres and at the top of it after charging 1.6 million you walk away with no alloy wheels in the tyre but lame wheel cups n unreliable tyres . i got tyres of one changed and the othr one is on the origionals and driving the later one is like horrible it gives you a feeling of a URAN TASHTARI.
 all from my side 
forgot one thing the audio unit is good in quality.
ASH TRAY  it took me 2 weeks to figure out ashtray i mean its a seperate cup which can be misplaced eaisly and hence negative marking of the car on that ground.",0,0,0,0,0,0,0.85,2009-06-05
Toyota,Probox,2002 Toyota Probox,Great car i like it,The car is best You must buy it my grand pa have this car but we sale the car in 2017  2018 or 2019 and now they have honda city. Honda city is not much better but its also good. Im ten years kid i like pakwheels i like to see car and i write this review and i like all pakwheels worker,4,5,4,5,4,4,0.0,2021-03-05
Mitsubishi,L300,1996 Mitsubishi L300,Great buy for Family,"Simple and smart look vehicle in the price budget under one Million ,excellent drive comforts and have Good seating Capacity  perfect for big Family like 9 to 10 members basically this is perfect for long tours , I think Pak Wheels must be Considered  this kind of Vehicles..",4,5,5,4,5,4,0.0,2019-07-03
Daihatsu,Move,2015 Daihatsu Move Custom RS SA,comfort with power,"exterior quality is also very exclusive, the tail lights and sporty back spoilers with antennae gives it a sxecutive and sporty look.. it comes with a name   ( the best Urban Car).. anterior quality  dual air bags with turbo makes it safe and at the same time extremly good... economical with fuek average ranging from 22km/l in city to 26 km/l on long route",5,5,4,4,5,4,1.0,2019-11-25
Toyota,Corolla,2011 Toyota Corolla XLi VVTi,corlla 2011 xli,i love its shape in all corlla. it give 14 avg and suspension and road grip is very good. althogh a little underpowered because cant cross 160 but while driving in 160 you wont feel it.this model have the most comfortable  drive and its mileage is even better than the new corlla,5,5,5,5,5,5,1.0,2020-04-26
Honda,City,2015 Honda City 1.3 i-VTEC,Honda City review after using for 3 years,"Due to word limit, I have divided my review into several parts. This is part 5.
Performance of this car is somewhat okay , at least with this sort of engine. During normal city driving, this car never feels under power. During highway driving, this car still does not feel under power and in fact  this car has a good driving pleasure.  The only time this car feels under powered is when you have to quickly cross a single in final seconds or if you have to over take another vehicle which is going at roughly around 60-80  km/h. The gear box is a little bit noisy and by this I mean when shifting from one gear to another, the gear box makes that particular shifting noise. Brakes are okay when it comes to normal city braking but when it comes to braking in emergency, I would rather not rely on such brakes at or above 100 km/h in city driving.",5,4,4,4,3,4,0.0,2018-12-26
Hyundai,Tucson,2023 Hyundai Tucson FWD A/T GLS Sport,I am so confused i am on Hyundai from Toyota i m soo much disappointing about his headlights water entered in the lights in zero meter suv what is it,"Ride is nice but a great issue is his headlights after every washing water enter in lights and I touch many of Tucson,s owners every one face this issue company doesn't serious solve this claim I spend 8.5 million rupees on it and i m so much disappointed for this issue",4,3,2,4,2,3,0.0,2024-03-04
Honda,City,2017 Honda City Aspire Prosmatec 1.5 i-VTEC,Better than gli and xli,"I bought honda city aspire prosmatec 1.5 it is much better than gli and xli because its engine is bigger than gli,city have good features which are not available in gli and xli like power windows not in xli , remote key system not in xli city also have android system , wooden panelling and leather seats . In exterior city have chrome handles,door protecters and shark fin antena . Fuel average of city is also very good I get 15 to 16 in local and 16 to 17 in highways . Suspension of corolla is better but quality , handling and brakes of honda are better than corolla",4,3,4,4,5,4,0.6666666666666666,2017-10-25
Honda,City,2005 Honda City i-DSI Vario,A decent car with odd looks,"The exterior look is not good. Interior is good and noiseless and the quality is far better than the model available today.  Trunk space is huge and much more than any of the local sedans of this category. 
Automatic model is sluggish in pickup and feels under powered when climbing a ramp or a bridge. The ride is smooth and comfortable with a soft suspension. The car is smooth on city roads and on highways, however seems to loosen road grip above the speed 130km. 
Fuel economy is approximately 9.5 to 10km/l with AC in city drive(for automatic version). 
Visibility is poor due to steep hood and broad pillars. One can hardly see any of the car area beyond wind shield. The car has the basic features of a primary luxury model (power windows, central locking, power mirrors) that are missing in corolla XLI version (which is priced more than city). The body is good but prone to rust. 
Overall car is good with no technical issues in any of the mechanisms and is a good value for money",2,4,3,3,4,3,1.0,2015-12-29
Honda,Civic,2022 Honda Civic RS,Its a comfortable car with huge price tag,"I own this car for 3 months now and have driven 2500. 
Till now it's a good comfortable car within the city and on long as well.

In the city, it gives me 11-12 km/l, and on long approximately 14-15 k/l.

The seats are comfortable, cushioning is great, and handling is perfect. 
HONDA sensing works really well and very useful feature. 

However, with this price tag, I was expecting electric seats and wireless chargers, and parking sensors.",5,4,5,4,3,4,1.0,2022-06-04
MG,ZS,2021 MG ZS,Great Buy,"Excellent interior n exterior, value for money. Fuel efficient  with regular petrol. Till now I have driven this car for about 10000 km. Comfortable and minimum out side sound. Boot space  spacious. Engine very well placed n heavy boney n doors etc.",5,5,5,5,5,5,1.0,2022-01-22
Suzuki,Cultus,2012 Suzuki Cultus EURO II,VERY VERY GOOD CAR IN ITS RANGE,exterior is very beautiful and built quality is very goodfuel econamy is very good and the leg space is more than enough in its range it is a very good car united baravo and prince pearl comes in this range but that cars are not durable and there built quality is not good but this car is very good,4,4,5,5,5,4,1.0,2022-05-26
Toyota,Premio,2015 Toyota Premio X EX Package 1.8,EXCELLENT CAR WITH AMAZING FUEL CONSUMPTION COMFORT AND LUXURY STYLE,I have a silver premio 2015 model its a valvematic and an excellent car with excellent fuel consumption comfort luxury style the road grip of tha car is amazing and its xex full option 1800 cc i have also grande and civic but its a very different machine...,4,5,5,5,5,4,0.0,2020-03-24
Honda,City,Honda City 1.3 i-VTEC,Wrong market positioning,"Overall, the car is goodish. Nice ride. Not great but good at confirm. Everything looks fine until one finds it less practical than the similarly priced Toyota Corolla.

It should also give looks of a car rather than an 'arrow'. Little ground clearance makes it the last choice for the 75% of the population living in the villages. 

It could be just the right choice for you if you are a guy who is ashamed of talking Punjabi with a goatee grown on your chin and doesn't care about anything but how quickly the car  picks up the speed once you hammer down the gas paddle.  

It , anyway, might have been a good choice, if Toyota Corolla 1.3 wouldn't be existing.",1,4,3,3,4,2,0.2222222222222222,2011-11-10
Suzuki,Cultus,Suzuki Cultus VXRi (CNG),Cultus life is not more then 80000-90000 KM,Salam im Usman Khalid From islamabad .......I have cultus model 2009 ...Cultus have Nice shape CNG consumption is good but petrol is just 10-12 KM   ........Good drive but the most important thing that cultus life is not more then 80000-90000 KM.....,3,2,2,1,2,1,0.7777777777777778,2012-03-08
Honda,Civic,2016 Honda Civic Oriel 1.8 i-VTEC CVT,drive the luxury,this car is great enough to make u feel like riding a luxury car.. but people should not compare it with corolla.. civic has its own class from begining.. i remember my 96 model civic with vtec engine under hood whn indus corolla used to come with 1.3 carburator engine in pakistan..,5,5,4,4,5,4,0.0,2021-08-26
Toyota,Aqua,2017 Toyota Aqua G,Good car,"The Toyota Corolla is the tenth generation of cars sold by Toyota under the Corolla nameplate. Introduced in late 2006, this series was replaced in 2012 in Japan, with North American model replaced in late 2013, and an early 2014 launch for most other markets. The Toyota Auris replaces the Corolla hatchback in Japan and Europe, but is still badged Corolla in Australia and New Zealand.",1,4,3,4,3,3,0.0,2017-10-07
Toyota,Corolla,2019 Toyota Corolla Altis Automatic 1.6,Price is worth it,"TOYOTA ALTIS 1.6 is a pretty good looking car.
It contain every assistive which a daily driver needs.
It also has a pretty good fuel economy.It gives around 12-13 in city and 14-17 on long route.Which is a pretty good for a normal 1600cc car.It is the best car b/w xli gli and grande either its feature or it economy.The thing which is missing in this current model are:-
1.It should have cruise control.
2.It should have a android screen.
3.TOYOTA ALTIS  should also come in a manual variant",5,5,5,5,4,4,0.0,2019-08-23
Toyota,Belta,2009 Toyota Belta X Business B Package 1.0,Toyota Belta,"in 1000 cc never seen feature like belta exterior like a Toyota Gli, interior and Air condition like Axio,fule economy better then Gli xli very nice ride.road grip very good.very good very good very good .big car in 660cc ca budget.buy car never be disappointed.",5,5,5,5,5,5,0.0,2022-03-06
Toyota,Corolla,2014 Toyota Corolla Altis Grande CVT-i 1.8,Grande An Amazing Luxury,"Recently I bought a Grande auto..... This time Toyota concentrated on Exterior and made a more aerodynamic shape for the new COROLLA.... Interior contrast is also awesome and Dash board is quite flat to place any object there...but lacks some features like Climate Control..... but in a country like Pakistan, manual climate control works better due to varying clininess of roads....so better to ignore it.......
 The car has sufficient height that cant touch on  any speed breaker :p ...... I love the seats and engine because it easily goes to 180 even before 1000 km periodic maintenance....
so ......Just Luxury Packed Together
Price is a bit high....but chalta hai :)",4,4,3,4,3,3,1.0,2014-12-14
Daihatsu,Move,2013 Daihatsu Move,Excellent Car,Beautiful car from outside &amp; inside. I am getting 25km per liter mileage in winter without AC on Kashmir High way &amp; Murree Road from G-13 Islamabad to Bhara Kahu Islamabad. I have it for more than 16 months with me. Its parts are available in Cha Sultan Rawalpindi. Parts r costly no doubt. Its 650 cc but have personality of big cars. Its height is so much so difficult to clean,5,5,5,5,5,5,1.0,2017-05-22
